Industries,Year,Salary($)
Social assistance,2013,"25,522.00"
Social assistance,2012,"26,297.00"
Support activities for mining,2013,"85,294.00"
Support activities for mining,2019,"94,997.00"
Support activities for mining,2012,"84,060.00"
Support activities for mining,2017,"88,834.00"
Support activities for mining,2018,"92,489.00"
Support activities for mining,2014,"89,477.00"
Support activities for mining,2015,"87,072.00"
Support activities for mining,2016,"84,722.00"
Textile mills and textile product mills,2019,"48,751.00"
Textile mills and textile product mills,2013,"41,681.00"
Textile mills and textile product mills,2015,"44,219.00"
Textile mills and textile product mills,2018,"47,125.00"
Textile mills and textile product mills,2016,"45,407.00"
Textile mills and textile product mills,2012,"40,645.00"
Textile mills and textile product mills,2017,"46,212.00"
Textile mills and textile product mills,2014,"43,471.00"
Transit and ground passenger transportation,2016,"37,513.00"
Transit and ground passenger transportation,2014,"34,236.00"
Transit and ground passenger transportation,2015,"35,413.00"
Transit and ground passenger transportation,2019,"52,756.00"
Transit and ground passenger transportation,2017,"40,147.00"
Transit and ground passenger transportation,2012,"32,553.00"
Transit and ground passenger transportation,2013,"33,125.00"
Transit and ground passenger transportation,2018,"43,029.00"
Truck transportation,2019,"58,328.00"
Truck transportation,2018,"57,256.00"
Truck transportation,2017,"54,583.00"
Truck transportation,2014,"50,679.00"
Truck transportation,2016,"52,676.00"
Truck transportation,2013,"48,831.00"
Truck transportation,2012,"47,810.00"
Truck transportation,2015,"52,057.00"
Warehousing and storage,2017,"45,659.00"
Warehousing and storage,2019,"46,821.00"
Warehousing and storage,2012,"45,408.00"
Warehousing and storage,2015,"46,642.00"
Warehousing and storage,2016,"45,893.00"
Warehousing and storage,2018,"46,427.00"
Warehousing and storage,2013,"45,603.00"
Warehousing and storage,2014,"46,375.00"
Waste management and remediation services,2016,"60,190.00"
Waste management and remediation services,2018,"64,143.00"
Waste management and remediation services,2019,"65,711.00"
Waste management and remediation services,2014,"57,464.00"
Waste management and remediation services,2013,"56,685.00"
Waste management and remediation services,2012,"56,977.00"
Waste management and remediation services,2017,"62,534.00"
Waste management and remediation services,2015,"59,113.00"
Water transportation,2017,"92,209.00"
Water transportation,2019,"96,297.00"
Water transportation,2013,"84,329.00"
Water transportation,2014,"87,942.00"
Water transportation,2018,"95,416.00"
Water transportation,2015,"90,253.00"
Water transportation,2012,"82,976.00"
Water transportation,2016,"89,909.00"
Wood products,2018,"48,145.00"
Wood products,2016,"45,003.00"
Wood products,2013,"41,330.00"
Wood products,2014,"42,765.00"
Wood products,2019,"49,812.00"
Wood products,2012,"40,141.00"
Wood products,2017,"46,686.00"
Wood products,2015,"44,710.00"
