CAINC4 Personal Income and Employment by Major Component,,,,,,,,,
Per capita personal income (Dollars) 4/ ,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,
County,,,,,,,,,
GeoFips,GeoName,2011,2012,2013,2014,2015,2016,2017,2018
6021,"Glenn, CA",35026,36244,39861,40201,42710,44313,44935,48613
6023,"Humboldt, CA",37214,37918,38913,40760,43734,45205,46493,48739
6025,"Imperial, CA",31763,32101,32895,32890,35494,35406,36537,36974
6027,"Inyo, CA",44229,46730,47853,51184,53820,57580,59340,61358
6029,"Kern, CA",32710,34508,35218,37461,38015,37920,38467,39703
6031,"Kings, CA",29732,29292,29773,33107,32605,33457,34323,35306
6033,"Lake, CA",32054,33114,34313,36205,38665,40258,41460,43185
6035,"Lassen, CA",29098,29569,30539,32354,34941,36253,36350,37844
6037,"Los Angeles, CA",46469,49510,49132,52233,55470,57127,59058,62224
6039,"Madera, CA",29992,31698,33160,35754,36357,37209,38062,39897
6041,"Marin, CA",90962,97288,98431,106614,114592,118416,124731,134275
6043,"Mariposa, CA",37228,38309,39234,42245,45165,48877,50703,53143
6045,"Mendocino, CA",38949,39179,40361,42842,45203,46602,47611,50150
6047,"Merced, CA",30554,31080,33150,35361,36028,36786,38037,38519
6049,"Modoc, CA",37400,37786,38473,40658,42888,43301,43224,44822
6051,"Mono, CA",41606,40529,42057,43774,45073,46528,51584,51325
6053,"Monterey, CA",42404,43908,44860,47557,51672,52686,53989,56193
6055,"Napa, CA",48859,53706,55225,59563,63995,67580,69791,74984
6057,"Nevada, CA",47859,49687,50570,53757,55662,58146,58771,61799
6059,"Orange, CA",51495,55348,54717,57165,61219,63086,65709,69268
6061,"Placer, CA",49641,52509,53456,56257,59854,61838,64015,66700
6063,"Plumas, CA",39682,41286,43209,46489,48285,49058,50905,53599
6065,"Riverside, CA",32196,32737,33440,34753,36642,37936,38975,40637
6067,"Sacramento, CA",40410,41691,42946,45187,47853,48965,50445,52544
6069,"San Benito, CA",37506,38616,40398,41910,46239,48634,50955,53822
6071,"San Bernardino, CA",31068,31733,32453,34320,36311,37592,38648,40316
6073,"San Diego, CA",46528,48302,49559,52214,54801,56322,58097,61386
6075,"San Francisco, CA",81698,89329,90398,99990,108039,114697,121778,130696
6077,"San Joaquin, CA",33468,34394,35621,37643,39955,41094,42391,44995
6079,"San Luis Obispo, CA",42699,44670,46004,48532,51714,53041,55635,58491
6081,"San Mateo, CA",79903,88058,87711,93765,102606,107207,117389,126392
6083,"Santa Barbara, CA",48888,51207,50763,53758,57307,57432,59633,62690
6085,"Santa Clara, CA",66406,72792,72927,79055,86188,92505,100177,107877
6087,"Santa Cruz, CA",50208,53170,54130,56549,59727,61166,64901,69355
6089,"Shasta, CA",35568,36381,37154,39667,42298,43412,44480,46582
6091,"Sierra, CA",34007,36288,37193,40756,40798,42870,44508,46615
6093,"Siskiyou, CA",34299,35161,36065,38645,41561,42913,43652,45065
6095,"Solano, CA",39036,39560,40941,42591,45146,46999,48364,51664
6097,"Sonoma, CA",45065,46914,48635,51565,55515,57566,60170,64501
6099,"Stanislaus, CA",33412,34612,35554,38609,41011,41417,42354,44120
6101,"Sutter, CA",36129,36044,37697,39593,41116,41972,42752,44535
6103,"Tehama, CA",30486,32006,32537,36005,37672,38608,40374,42483
6105,"Trinity, CA",28672,29279,30207,33106,36262,37286,37842,40640
6107,"Tulare, CA",32292,32286,33762,37121,37366,38198,39018,40420
6109,"Tuolumne, CA",36492,37593,37582,40533,43555,45467,46017,47838
6111,"Ventura, CA",48059,49993,50475,53031,55711,57136,58761,61712
6113,"Yolo, CA",43432,44330,45607,48354,50460,51225,52207,54118
6115,"Yuba, CA",32678,33009,34139,35809,38180,39140,39409,40929
8001,"Adams, CO*",32392,33910,34802,36788,38348,39468,41170,43315
8003,"Alamosa, CO",29960,30375,30662,32221,34706,34692,35437,37351
8005,"Arapahoe, CO",46792,48442,49692,53236,54358,55001,56789,60180
8007,"Archuleta, CO",32147,33467,34243,37830,39455,40004,40753,41947
8009,"Baca, CO",43794,37598,42480,39428,36750,37660,41045,40968
8011,"Bent, CO",23062,24344,24945,25636,27704,28347,26363,27574
8013,"Boulder, CO*",52146,54805,56536,60367,63953,64875,69298,73394
8014,"Broomfield, CO*",56320,58475,55035,57635,58698,60403,63170,66410
